Code,Active
IN-KL,64447
IN-MH,51111
IN-UP,11786
IN-KA,9119
IN-AP,2822
IN-TN,7547
IN-WB,8476
IN-OR,1920
IN-RJ,7468
IN-TG,5053
IN-BR,4106
IN-GJ,8259
IN-MP,8528
IN-DL,4168
IN-CT,8859
IN-HR,2563
IN-AS,1699
IN-PB,2975
IN-JK,2396
IN-JH,1448
IN-UT,3309
IN-HP,1220
IN-GA,841
IN-PY,359
IN-TR,64
IN-MN,490
IN-CH,240
IN-AR,79
IN-ML,138
IN-NL,131
IN-SK,465
IN-AN,32
IN-MZ,76
IN-DH,7
