,Date,State,District,Active,Population_2020,Batch_no
101,2021-01-14,Gujarat,Jamnagar,114,2462536,2
102,2021-01-14,Gujarat,Junagadh,70,3127113,2
103,2021-01-14,Gujarat,Kheda,67,2621869,2
104,2021-01-14,Gujarat,Kutch,147,2385303,2
105,2021-01-14,Gujarat,Mehsana,53,2319973,2
106,2021-01-14,Gujarat,Narmada,79,672939,2
107,2021-01-14,Gujarat,Navsari,16,1515826,2
108,2021-01-14,Gujarat,Panchmahal,51,2725485,2
109,2021-01-14,Gujarat,Patan,22,1531857,2
110,2021-01-14,Gujarat,Porbandar,5,667412,2
111,2021-01-14,Gujarat,Rajkot,933,4337196,1
112,2021-01-14,Gujarat,Sabarkantha,88,2768591,2
113,2021-01-14,Gujarat,Surat,806,6932707,1
114,2021-01-14,Gujarat,Surendranagar,74,2002146,2
115,2021-01-14,Gujarat,Tapi,18,920005,2
116,2021-01-14,Gujarat,Vadodara,1047,4748814,1
117,2021-01-14,Gujarat,Valsad,22,1944473,2
118,2021-01-14,Himachal Pradesh,Bilaspur,28,435430,2
119,2021-01-14,Himachal Pradesh,Chamba,33,591751,2
120,2021-01-14,Himachal Pradesh,Hamirpur,118,518436,2
121,2021-01-14,Himachal Pradesh,Kangra,204,1721486,1
122,2021-01-14,Himachal Pradesh,Kinnaur,8,95898,2
123,2021-01-14,Himachal Pradesh,Kullu,23,499209,2
124,2021-01-14,Himachal Pradesh,Lahaul and Spiti,5,35983,2
125,2021-01-14,Himachal Pradesh,Mandi,75,1139746,2
126,2021-01-14,Himachal Pradesh,Shimla,95,927971,2
127,2021-01-14,Himachal Pradesh,Sirmaur,95,604035,2
128,2021-01-14,Himachal Pradesh,Solan,83,661565,2
129,2021-01-14,Himachal Pradesh,Una,47,594137,2
130,2021-01-14,Haryana,Ambala,96,1286319,2
131,2021-01-14,Haryana,Bhiwani,15,1863267,1
132,2021-01-14,Haryana,Faridabad,264,2063096,1
133,2021-01-14,Haryana,Fatehabad,22,1073893,2
134,2021-01-14,Haryana,Gurugram,680,1726452,1
135,2021-01-14,Haryana,Hisar,50,1988081,1
