,Date,State,District,Active,Population_2020,Batch_no
456,2021-01-14,Tamil Nadu,Tirunelveli,92,3508046,2
457,2021-01-14,Tamil Nadu,Tiruppur,223,2826119,2
458,2021-01-14,Tamil Nadu,Tiruvannamalai,63,2809958,2
459,2021-01-14,Tamil Nadu,Vellore,195,4487417,2
460,2021-01-14,Tamil Nadu,Viluppuram,45,3943115,2
461,2021-01-14,Tamil Nadu,Virudhunagar,58,2214208,2
462,2021-01-14,Tripura,Dhalai,2,430906,2
463,2021-01-14,Tripura,Gomati,2,498030,2
464,2021-01-14,Tripura,Khowai,2,373226,2
465,2021-01-14,Tripura,North Tripura,1,474178,2
466,2021-01-14,Tripura,Sipahijala,2,552026,2
467,2021-01-14,Tripura,South Tripura,2,494460,2
468,2021-01-14,Tripura,Unokoti,1,316162,2
469,2021-01-14,Tripura,West Tripura,33,1045989,1
470,2021-01-14,Uttar Pradesh,Agra,111,5037429,2
471,2021-01-14,Uttar Pradesh,Aligarh,56,4188233,2
472,2021-01-14,Uttar Pradesh,Ambedkar Nagar,64,2733592,2
473,2021-01-14,Uttar Pradesh,Amroha,51,2097852,2
474,2021-01-14,Uttar Pradesh,Auraiya,53,1572681,2
475,2021-01-14,Uttar Pradesh,Azamgarh,92,5259861,2
476,2021-01-14,Uttar Pradesh,Baghpat,22,1485475,2
477,2021-01-14,Uttar Pradesh,Bahraich,54,3976013,2
478,2021-01-14,Uttar Pradesh,Ballia,130,3693342,2
479,2021-01-14,Uttar Pradesh,Balrampur,60,2449478,2
480,2021-01-14,Uttar Pradesh,Banda,79,2051327,2
481,2021-01-14,Uttar Pradesh,Barabanki,47,3717197,2
482,2021-01-14,Uttar Pradesh,Bareilly,312,5071129,2
483,2021-01-14,Uttar Pradesh,Basti,42,2809489,2
484,2021-01-14,Uttar Pradesh,Bhadohi,75,1799163,2
485,2021-01-14,Uttar Pradesh,Bijnor,81,4198293,2
486,2021-01-14,Uttar Pradesh,Budaun,121,4197361,2
487,2021-01-14,Uttar Pradesh,Bulandshahr,92,3989055,2
488,2021-01-14,Uttar Pradesh,Chandauli,80,2226142,2
489,2021-01-14,Uttar Pradesh,Chitrakoot,19,1130572,2
490,2021-01-14,Uttar Pradesh,Deoria,75,3535078,2
491,2021-01-14,Uttar Pradesh,Etah,72,2022907,2
492,2021-01-14,Uttar Pradesh,Etawah,50,1803263,2
493,2021-01-14,Uttar Pradesh,Farrukhabad,57,2149133,2
494,2021-01-14,Uttar Pradesh,Fatehpur,103,3001316,2
495,2021-01-14,Uttar Pradesh,Firozabad,20,2847898,2
496,2021-01-14,Uttar Pradesh,Gautam Buddha Nagar,238,1878851,2
497,2021-01-14,Uttar Pradesh,Ghaziabad,322,5337075,2
498,2021-01-14,Uttar Pradesh,Ghazipur,75,4127106,2
499,2021-01-14,Uttar Pradesh,Gonda,40,3914668,2
500,2021-01-14,Uttar Pradesh,Gorakhpur,173,5062620,2
501,2021-01-14,Uttar Pradesh,Hamirpur,3,1258885,2
502,2021-01-14,Uttar Pradesh,Hardoi,109,4665843,2
503,2021-01-14,Uttar Pradesh,Jalaun,51,1926570,2
504,2021-01-14,Uttar Pradesh,Jaunpur,52,5123393,2
505,2021-01-14,Uttar Pradesh,Jhansi,132,2278407,2
506,2021-01-14,Uttar Pradesh,Kannauj,27,1888542,2
507,2021-01-14,Uttar Pradesh,Kanpur Dehat,60,2047650,2
508,2021-01-14,Uttar Pradesh,Kanpur Nagar,348,5222646,2
509,2021-01-14,Uttar Pradesh,Kasganj,54,1637860,2
510,2021-01-14,Uttar Pradesh,Kaushambi,6,1823539,2
511,2021-01-14,Uttar Pradesh,Kushinagar,74,4063580,2
512,2021-01-14,Uttar Pradesh,Lakhimpur Kheri,127,4584217,2
513,2021-01-14,Uttar Pradesh,Lalitpur,70,1392615,2
514,2021-01-14,Uttar Pradesh,Lucknow,2203,5232415,1
515,2021-01-14,Uttar Pradesh,Maharajganj,26,3060561,2
516,2021-01-14,Uttar Pradesh,Mahoba,7,998592,2
517,2021-01-14,Uttar Pradesh,Mainpuri,66,2130123,2
518,2021-01-14,Uttar Pradesh,Mathura,65,2903790,2
519,2021-01-14,Uttar Pradesh,Mau,27,2514804,2
520,2021-01-14,Uttar Pradesh,Meerut,660,3925805,2
521,2021-01-14,Uttar Pradesh,Mirzapur,34,2846546,2
522,2021-01-14,Uttar Pradesh,Moradabad,215,5440087,2
523,2021-01-14,Uttar Pradesh,Muzaffarnagar,253,4723604,2
524,2021-01-14,Uttar Pradesh,Pilibhit,45,2315348,2
525,2021-01-14,Uttar Pradesh,Pratapgarh,52,3658421,2
526,2021-01-14,Uttar Pradesh,Rae Bareli,111,3882337,2
527,2021-01-14,Uttar Pradesh,Rampur,77,2662834,2
528,2021-01-14,Uttar Pradesh,Saharanpur,232,3951675,2
529,2021-01-14,Uttar Pradesh,Sant Kabir Nagar,59,1955309,2
530,2021-01-14,Uttar Pradesh,Shahjahanpur,71,3427453,2
531,2021-01-14,Uttar Pradesh,Shrawasti,23,1273792,2
532,2021-01-14,Uttar Pradesh,Siddharthnagar,53,2917599,2
533,2021-01-14,Uttar Pradesh,Sitapur,36,5111751,2
534,2021-01-14,Uttar Pradesh,Sonbhadra,148,2123317,2
535,2021-01-14,Uttar Pradesh,Sultanpur,187,4328713,2
536,2021-01-14,Uttar Pradesh,Unnao,160,3543538,2
537,2021-01-14,Uttar Pradesh,Varanasi,449,4191599,2
538,2021-01-14,Uttarakhand,Almora,177,709657,3
539,2021-01-14,Uttarakhand,Bageshwar,136,296284,3
540,2021-01-14,Uttarakhand,Chamoli,106,446430,3
541,2021-01-14,Uttarakhand,Champawat,33,295999,3
542,2021-01-14,Uttarakhand,Dehradun,604,1934231,1
543,2021-01-14,Uttarakhand,Haridwar,321,2155081,2
544,2021-01-14,Uttarakhand,Nainital,474,1088250,1
545,2021-01-14,Uttarakhand,Pauri Garhwal,113,783489,3
546,2021-01-14,Uttarakhand,Pithoragarh,111,551120,3
547,2021-01-14,Uttarakhand,Rudraprayag,47,276205,3
548,2021-01-14,Uttarakhand,Tehri Garhwal,158,705581,3
549,2021-01-14,Uttarakhand,Udham Singh Nagar,134,1879748,2
550,2021-01-14,Uttarakhand,Uttarkashi,96,376298,3
551,2021-01-14,West Bengal,Bankura,233,4100208,2
552,2021-01-14,West Bengal,Birbhum,185,3992741,2
553,2021-01-14,West Bengal,Cooch Behar,122,3213758,2
554,2021-01-14,West Bengal,Dakshin Dinajpur,44,1910955,2
555,2021-01-14,West Bengal,Darjeeling,285,2105378,2
556,2021-01-14,West Bengal,Hooghly,378,6291825,2
557,2021-01-14,West Bengal,Howrah,334,5529033,2
558,2021-01-14,West Bengal,Jalpaiguri,204,4415044,2
559,2021-01-14,West Bengal,Kolkata,1439,5126231,1
560,2021-01-14,West Bengal,Malda,159,4547283,2
561,2021-01-14,West Bengal,Murshidabad,231,8098340,2
562,2021-01-14,West Bengal,Nadia,323,5891064,2
563,2021-01-14,West Bengal,North 24 Parganas,1762,11411150,1
564,2021-01-14,West Bengal,Paschim Bardhaman,304,3283614,2
565,2021-01-14,West Bengal,Paschim Medinipur,227,6741341,2
566,2021-01-14,West Bengal,Purba Bardhaman,151,5514408,2
567,2021-01-14,West Bengal,Purba Medinipur,252,5809298,2
568,2021-01-14,West Bengal,Purulia,125,3340331,2
569,2021-01-14,West Bengal,South 24 Parganas,296,9304636,2
570,2021-01-14,West Bengal,Uttar Dinajpur,101,3428133,2
