State,District,Population_2020
Jharkhand,Dhanbad,3060315
Jharkhand,Bokaro,2351056
Jharkhand,Lohardaga,526441
Jharkhand,East Singhbhum,2615068
Jharkhand,Palamu,2211451
Jharkhand,Latehar,828755
Jharkhand,Hazaribagh,1977324
Jharkhand,Ramgarh,1082365
Jharkhand,Dumka,1506444
Jharkhand,Jamtara,901788
Jharkhand,Ranchi,3322248
Jharkhand,Khunti,606349
Jharkhand,Gumla,1168743
Jharkhand,Simdega,683519
Jharkhand,West Singhbhum,1712665
Jharkhand,Saraikela-Kharsawan,1214164
Karnataka,Belgaum,5448814
Karnataka,Bagalkote,2154317
Karnataka,Bijapur,2482157
Karnataka,Bidar,1941762
Karnataka,Raichur,2198846
Karnataka,Koppal,1584509
Karnataka,Gadag,1213610
Karnataka,Dharwad,2105606
Karnataka,Uttara Kannada,1638373
Karnataka,Haveri,1821342
Karnataka,Ballari,2795958
Karnataka,Chitradurga,1891780
Karnataka,Davanagere,2217867
Karnataka,Shivamogga,1998138
Karnataka,Udupi,1342192
Karnataka,Chikkamagaluru,1297276
Karnataka,Tumakuru,3054037
Karnataka,Bengaluru Urban,10968568
Karnataka,Mandya,2058577
Karnataka,Hassan,2025120
Karnataka,Dakshina Kannada,2382200
Karnataka,Kodagu,632152
Karnataka,Mysuru,3421285
Karnataka,Chamarajanagara,1163702
Karnataka,Gulbarga,2925612
Karnataka,Yadgir,1338669
Karnataka,Kolar,1751497
Karnataka,Chikkaballapura,1430819
Karnataka,Bangalore Rural,1129652
Karnataka,Ramanagara,1234205
Kerala,Kasaragod,1490408
Kerala,Kannur,2876223
Kerala,Wayanad,931859
Kerala,Kozhikode,3518374
Kerala,Malappuram,4688729
Kerala,Palakkad,3203325
Kerala,Thrissur,3558168
Kerala,Ernakulam,3741922
Kerala,Idukki,1264230
Kerala,Kottayam,2250988
Kerala,Alappuzha,2425679
Kerala,Pathanamthitta,1365050
Kerala,Kollam,3004328
Kerala,Thiruvananthapuram,3763627
Ladakh,Leh,152175
Ladakh,Kargil,160514
Madhya Pradesh,Sheopur,784162
Madhya Pradesh,Morena,2241206
Madhya Pradesh,Bhind,1941426
Madhya Pradesh,Gwalior,2316521
Madhya Pradesh,Datia,896900
Madhya Pradesh,Shivpuri,1967697
Madhya Pradesh,Tikamgarh,1647489
Madhya Pradesh,Chhatarpur,2009108
Madhya Pradesh,Panna,1158833
Madhya Pradesh,Sagar,2711442
Madhya Pradesh,Damoh,1441210
Madhya Pradesh,Satna,2540986
Madhya Pradesh,Rewa,2696221
Madhya Pradesh,Umaria,735024
Madhya Pradesh,Neemuch,941716
Madhya Pradesh,Mandsaur,1528069
Madhya Pradesh,Ratlam,1658779
Madhya Pradesh,Ujjain,2265025
Madhya Pradesh,Shajapur,1724456
Madhya Pradesh,Dewas,1782635
Madhya Pradesh,Dhar,2491804
Madhya Pradesh,Indore,3735435
Madhya Pradesh,Khargone,2135272
Madhya Pradesh,Barwani,1579904
