Code,Active
IN-MH,37516
IN-UP,4765
IN-KL,68869
IN-KA,5917
IN-AP,1154
IN-TN,4464
IN-WB,5196
IN-OR,910
IN-RJ,1639
IN-TG,1985
IN-BR,1046
IN-GJ,2856
IN-MP,2430
IN-DL,1194
IN-PB,2130
IN-CH,186
IN-CT,4315
IN-HR,1019
IN-AS,401
IN-JK,652
IN-JH,453
IN-UT,997
IN-HP,409
IN-GA,782
IN-PY,293
IN-TR,17
IN-MN,111
IN-AR,9
IN-ML,52
IN-NL,64
IN-SK,86
IN-AN,0
IN-MZ,25
IN-DH,6
