Code,Batch_no
IN-MH,1
IN-UP,1
IN-KL,2
IN-CT,2
IN-KA,3
IN-AP,3
IN-TN,3
IN-WB,3
IN-OR,3
IN-RJ,3
IN-TG,3
IN-BR,3
IN-GJ,3
IN-MP,3
IN-DL,4
IN-PB,4
IN-CH,4
IN-HR,5
IN-AS,5
IN-JK,5
IN-JH,5
IN-UT,5
IN-HP,5
IN-GA,5
IN-PY,5
IN-TR,5
IN-MN,5
IN-AR,5
IN-ML,5
IN-NL,5
IN-SK,5
IN-AN,5
IN-MZ,5
IN-DH,5
